G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 20 2021,7:30p,,Box Score,@,New York Knicks,L,2OT,134,138,0,1,L 1,
2,Fri Oct 22 2021,7:30p,,Box Score,,Toronto Raptors,L,,83,115,0,2,L 2,
3,Sun Oct 24 2021,7:00p,,Box Score,@,Houston Rockets,W,,107,97,1,2,W 1,
4,Mon Oct 25 2021,7:00p,,Box Score,@,Charlotte Hornets,W,OT,140,129,2,2,W 2,
5,Wed Oct 27 2021,7:30p,,Box Score,,Washington Wizards,L,,107,116,2,3,L 1,
6,Sat Oct 30 2021,5:00p,,Box Score,@,Washington Wizards,L,2OT,112,115,2,4,L 2,
7,Mon Nov 1 2021,7:30p,,Box Score,,Chicago Bulls,L,,114,128,2,5,L 3,
8,Wed Nov 3 2021,7:00p,,Box Score,@,Orlando Magic,W,,92,79,3,5,W 1,
9,Thu Nov 4 2021,7:30p,,Box Score,@,Miami Heat,W,,95,78,4,5,W 2,
10,Sat Nov 6 2021,8:30p,,Box Score,@,Dallas Mavericks,L,,104,107,4,6,L 1,
11,Wed Nov 10 2021,7:30p,,Box Score,,Toronto Raptors,W,,104,88,5,6,W 1,
12,Fri Nov 12 2021,7:30p,,Box Score,,Milwaukee Bucks,W,OT,122,113,6,6,W 2,
13,Sat Nov 13 2021,8:00p,,Box Score,@,Cleveland Cavaliers,L,,89,91,6,7,L 1,
14,Mon Nov 15 2021,7:00p,,Box Score,@,Cleveland Cavaliers,W,,98,92,7,7,W 1,
15,Wed Nov 17 2021,7:30p,,Box Score,@,Atlanta Hawks,L,,99,110,7,8,L 1,
16,Fri Nov 19 2021,7:30p,,Box Score,,Los Angeles Lakers,W,,130,108,8,8,W 1,
17,Sat Nov 20 2021,7:30p,,Box Score,,Oklahoma City Thunder,W,,111,105,9,8,W 2,
18,Mon Nov 22 2021,7:30p,,Box Score,,Houston Rockets,W,,108,90,10,8,W 3,
19,Wed Nov 24 2021,7:30p,,Box Score,,Brooklyn Nets,L,,104,123,10,9,L 1,
20,Fri Nov 26 2021,8:30p,,Box Score,@,San Antonio Spurs,L,,88,96,10,10,L 2,
21,Sun Nov 28 2021,6:00p,,Box Score,@,Toronto Raptors,W,,109,97,11,10,W 1,
22,Wed Dec 1 2021,7:30p,,Box Score,,Philadelphia 76ers,W,,88,87,12,10,W 2,
23,Fri Dec 3 2021,9:00p,,Box Score,@,Utah Jazz,L,,130,137,12,11,L 1,
24,Sat Dec 4 2021,10:00p,,Box Score,@,Portland Trail Blazers,W,,145,117,13,11,W 1,
25,Tue Dec 7 2021,10:00p,,Box Score,@,Los Angeles Lakers,L,,102,117,13,12,L 1,
26,Wed Dec 8 2021,10:30p,,Box Score,@,Los Angeles Clippers,L,,111,114,13,13,L 2,
27,Fri Dec 10 2021,10:00p,,Box Score,@,Phoenix Suns,L,,90,111,13,14,L 3,
28,Mon Dec 13 2021,7:30p,,Box Score,,Milwaukee Bucks,W,,117,103,14,14,W 1,
29,Fri Dec 17 2021,7:30p,,Box Score,,Golden State Warriors,L,,107,111,14,15,L 1,
30,Sat Dec 18 2021,7:00p,,Box Score,,New York Knicks,W,,114,107,15,15,W 1,
